Version,Date,Description of Change,_page,Caution: ALWAYS CONNECT JETSON ORIN NANO and ALL EXTERNAL PERIPHERAL,Note: The developer kit carrier board has been modified to only support 5V to the module.,Pin #,Connector Pin,Associated Module Pin,Module,Module Pin Name,Type/Dir,Module Pin Name (see Note 1 and 2),Usage/Description,Module Pin #,N > >,otes:,Module Pin,Module Pin.1,Module.1,Notes:,Type/Dir.1,Header Pin #,SoC Pin Name,Pin Drive,Pin,Type/Dir Default,Associated Module Pin Name,Power Rails,Usage,(V),Power Supply or Gate,Source,Enable,Max Current (A),Connector
,,,13,,,,,,,10,–,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,11,USB1_D_N,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,12,USB1_D_P,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,13,–,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,14,USBSS0_RX_N,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,15,USBSS0_RX_P,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,16,–,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,17,USBSS0_TX_N,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,18,USBSS0_TX_P,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,1. USB 3.2 module pin names are using the Orin NX and Orin Nano function names.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,2. The module pin names not directly connected to the USB connector pins but are routed to the input of the,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,USB hub.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,"3. In the Type/Dir column, Output is to USB connectors. Input is from USB connectors. Bidir is for bidirectional",,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,signals.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,Pin #,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,USB 3.0 Type A (2),,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,1,–,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,2,USB1_D_N,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,3,USB1_D_P,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,4,–,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,5,USBSS0_RX_N,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,6,USBSS0_RX_P,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,7,–,,,,,,,,,,,,,,,,,,,,,,
,,,13,,,,,,,,,8,USBSS0_TX_N,,,,,,,,,,,,,,,,,,,,,,
